,course_code,course_title,points_r1_2021,points_r2_2021,eos_mid_2021,test/interview_2021
0,AL801,Software Design for Virtual Reality and Gaming    ,300,,359,
1,AL802,Software Design in Artificial Intelligence for Clo,313,,381,
2,AL803,Software Design for Mobile Apps and Connected Devi,350,,398,
3,AL805,Computer Engineering for Network Infrastructure   ,321,,381,
4,AL810,Quantity Surveying                                ,328,,377,
5,AL811,Civil Engineering                                 ,,,0,
6,AL820,Mechanical and Polymer Engineering                ,327,,398,
7,AL830,General Nursing                                   ,451*,444,455,
8,AL832,Mental Health Nursing                             ,440*,431,451,
9,AL835,Pharmacology                                      ,356,,429,
10,AL836,Nutrition and Health Science                      ,346,,398,
11,AL837,Sports Science with Exercise Physiology           ,357,,409,
12,AL838,Biotechnology                                     ,324,,434,
13,AL839,Microbiology                                      ,325,,408,
14,AL840,Pharmaceutical Sciences                           ,346,,402,
15,AL841,Athletic and Rehabilitation Therapy               ,477,476*,489,
16,AL842,Bioveterinary Science                             ,338,,413,
17,AL843,Physical Activity and Health Science              ,306,,358,
18,AL849,Culinary Entrepreneurship                         ,297,,327,
19,AL850,Business                                          ,309,,369,
20,AL851,Business and Law                                  ,302,,357,
21,AL852,Accounting                                        ,336,,466,
22,AL854,Sport Management (with international placement)   ,300,299,349,
23,AL855,Hospitality Management (with international placeme,309,,378,
24,AL857,Digital Marketing                                 ,304,,398,
25,AL859,International Business                            ,308,,371,
26,AL860,Social Care Practice                              ,301,,359,
27,AL861,Animation and Illustration (portfolio)            ,#575,,760,#
28,AL863,Graphic and Digital Design (portfolio)            ,#747,,808,#
29,AL864,Early Years Care and Education                    ,306,,366,
30,AL870,Applied Psychology                                ,484*,467*,480,
31,CW018,Business (options)                                ,307,,381,
32,CW028,Early Childhood Education and Care                ,260,,378,
33,CW038,Art (portfolio)                                   ,#700,,700,#
34,CW058,Tourism and Event Management                      ,292,,356,
35,CW068,Applied Social Studies in Professional Social Care,250,,306,
36,CW078,Sustainable Farm Management and Agribusiness      ,270,,363,
37,CW088,Visual Communications and Design                  ,270,,290,
38,CW108,Science (options)                                 ,266,,361,
39,CW128,Brewing and Distilling                            ,307,,349,
40,CW138,Sport and Exercise Science                        ,430,423,462,
41,CW148,Strength and Conditioning                         ,388,,409,
42,CW188,Sport Rehabilitation and Athletic Therapy         ,451,,488,
43,CW208,Computer Games Development                        ,272,,333,
44,CW238,Software Development                              ,295,,387,
45,CW248,Information Technology Management                 ,293,,338,
