course_code,course_title,points_r1_2021,points_r2_2021,eos_mid_2021,test/interview_2021,points_r1_2020,points_r2_2020,eos_mid_2020,test/interview_2020,eos_mid_2019,eos_2019
AL605,Music and Instrument Technology,211,,319,,AQA,AQA,306,,,
AL630,Pharmacy Technician,308,,409,,295,,379,,,
AL631,Dental Nursing,311,,400,,300,298,388,,,
AL632,Applied Science,297,,454,,234,,434,,,
AL650,Business,AQA,AQA,351,,207,,326,,,
AL660,Culinary Arts,AQA,AQA,271,,AQA,AQA,270,,,
AL661,Bar Supervision,AQA,,279,,AQA,AQA,241,,,
AL663,Business (Sport and Recreation),AQA,AQA,311,,AQA,AQA,262,,,
AL701,Computer Engineering for Network Infrastructure,207,,382,,216,,337,,,
AL702,Software Design in Artificial Intelligence for Cloud Computing,220,,381,,214,,338,,,
AL703,Software Design for Virtual Reality and Gaming,211,,349,,216,,337,,,
AL704,Computer Engineering,210,,368,,204,,403,,,
AL705,Software Design for Mobile Apps and Connected Devices,250,,323,,216,,337,,,
AL710,Mechanical Engineering,243,,340,,223,,337,,,
AL711,Mechanical Engineering and Renewable Energy,238,,389,,228,,369,,,
AL712,Automation and Robotics,247,,434,,252,,379,,,
AL713,Engineering (Common Entry to Automation and Robotics/Renewable/Mech Eng),226,,387,,218,,402,,,
AL718,Music and Sound Engineering,242,,363,,214,,339,,,
AL721,Civil Engineering,242,,409,,233,,357,,,
AL730,Biotechnology,261,,444,,250,,402,,,
AL731,Veterinary Nursing,421,,498,,400,,456,,,
AL734,Pharmaceutical Sciences (Drug Development and Analysis),244,,403,,244,,359,,,
AL740,Exercise and Health Science,251,,418,,250,,367,,,
AL751,Digital Marketing,241,,398,,241,,318,,,
AL752,Business,223,,412,,225,,397,,,
AL761,Hotel and Leisure Management,AQA,AQA,306,,208,,309,,,
AL763,Graphic Design (portfolio),642,,811,#,781,,858,#,,
AL764,Early Years Care and Education,260,,408,,260,,398,,,
AL765,Applied Social Studies in Social Care,300,,386,,280,,358,,,
AL801,Software Design for Virtual Reality and Gaming,300,,359,,303,,367,,328 ,304 
AL802,Software Design in Artificial Intelligence for Cloud Computing,313,,381,,332,,382,,306 ,301 
AL803,Software Design for Mobile Apps and Connected Devices,350,,398,,337,,360,,337 ,309 
AL805,Computer Engineering for Network Infrastructure,321,,381,,333,,360,,442 ,329 
AL810,Quantity Surveying,328,,377,,319,,352,,349 ,307 
AL811,Civil Engineering,,,0,,320,,432,,,
AL820,Mechanical and Polymer Engineering,327,,398,,308,,379,,358 ,300 
AL830,General Nursing,451,444,455,,442,,463,,429 ,410 
AL832,Mental Health Nursing,440,431,451,,387,384,399,,403 ,387 
AL835,Pharmacology,356,,429,,,,,,,
AL836,Nutrition and Health Science,346,,398,,334,,379,,383 ,352 
AL837,Sports Science with Exercise Physiology,357,,409,,351,,384,,392 ,351 
