Occupation,Men,Women,Total,WomenPercent
"Managers, directors and senior officials",119.4,63.0,182.4,34.5
Professionals,224.4,256.9,481.3,53.4
Associate professional and technical,147.7,109.9,257.6,42.7
Administrative and secretarial,51.9,179.3,231.2,77.6
Skilled trades,288.3,28.9,317.2,9.1
"Caring, leisure and other services",39.8,152.3,192.1,79.3
Sales and customer service,69.7,114.8,184.6,62.2
"Process, plant and machine operatives",157.4,29.6,187.0,15.8
Elementary,137.5,119.1,256.6,46.4
Other/not stated 1,5.9,7.5,10.0,75.0
Total,"1,242.0","1,058.1","2,300.0",46.0
